ticker,company,sector,document_type,period,language,source_url,local_path,sha256,page_count,file_size,download_status
SISE,Türkiye Şişe ve Cam Fabrikaları A.Ş.,Cam & Kimyasallar,annual_report,2025,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1396210,data/raw/SISE/SISE__annual_report__2025__tr__v1.pdf,b34735371272e2b74ddb2a4f8818dabe449a028431e49e43c8aef11742c708f6,13,549614,success
SISE,Türkiye Şişe ve Cam Fabrikaları A.Ş.,Cam & Kimyasallar,sustainability_report,2025,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1396211,data/raw/SISE/SISE__sustainability_report__2025__tr__v1.pdf,205dfe999e907da2c492b6663459f855eee37e69e6b1a187054463b758460291,4,174795,success
SISE,Türkiye Şişe ve Cam Fabrikaları A.Ş.,Cam & Kimyasallar,investor_presentation,2026_Q1,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1396213,data/raw/SISE/SISE__investor_presentation__2026_Q1__tr__v1.pdf,cee17137aad852d103aba887b0286d8e2142620e20543d409befd63361efe940,2,125414,success
AKBNK,Akbank T.A.Ş.,Bankacılık,annual_report,2025,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1401110,data/raw/AKBNK/AKBNK__annual_report__2025__tr__v1.pdf,8a28974721dc1a29b3f59ededca4f063eebe9dcaa57de985482012d1bd56b148,2,124731,success
AKBNK,Akbank T.A.Ş.,Bankacılık,sustainability_report,2025,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1401111,data/raw/AKBNK/AKBNK__sustainability_report__2025__tr__v1.pdf,1d21e157d355bb0800d02ac2bbaa41803a98cb2a89fe04fe1c7fbcfe276c47d9,15,470712,success
AKBNK,Akbank T.A.Ş.,Bankacılık,investor_presentation,2026_Q1,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1401113,data/raw/AKBNK/AKBNK__investor_presentation__2026_Q1__tr__v1.pdf,5dfb5574c119442cf763000c82025ebf9114e378348a567b32ba769149cbb8bd,4,156438,success
KCHOL,Koç Holding A.Ş.,Holding,annual_report,2025,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1398510,data/raw/KCHOL/KCHOL__annual_report__2025__tr__v1.pdf,1b3f2eb9ed1237aee8f2b39c781d22b478aea2faceb77fed18dc62d5f5270194,2,120267,success
KCHOL,Koç Holding A.Ş.,Holding,sustainability_report,2025,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1398511,data/raw/KCHOL/KCHOL__sustainability_report__2025__tr__v1.pdf,53431e291ddbb4245f08a370cead8b8f702c076d2c4e438df56323ff8646c5f4,2,120032,success
KCHOL,Koç Holding A.Ş.,Holding,investor_presentation,2026_Q1,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1398513,data/raw/KCHOL/KCHOL__investor_presentation__2026_Q1__tr__v1.pdf,ab603cb0776d7c7eb0eff13c0a87c743dbf36e9bbdeb5a0a5c724c00ccf20fc9,2,87972,success
MGROS,Migros Ticaret A.Ş.,Perakende,annual_report,2025,tr,https://migroskurumsalstr.blob.core.windows.net/migroskurumsalstr/-migros-tr2025-interaktif-639088646656876356.pdf,data/raw/MGROS/MGROS__annual_report__2025__tr__v1.pdf,ef4759409e771604e2195fa8c1202acb15dc20fe3813ca68e7e46ebdd31b8abb,179,34059908,success
MGROS,Migros Ticaret A.Ş.,Perakende,sustainability_report,2025,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1395110,data/raw/MGROS/MGROS__sustainability_report__2025__tr__v1.pdf,1434daf47e854c64a5b0c59a5977dcbd431f2db0ae725be16813a0efefbe65c1,2,121438,success
MGROS,Migros Ticaret A.Ş.,Perakende,investor_presentation,2026_Q1,tr,https://www.kap.org.tr/tr/api/BildirimPdf/1395112,data/raw/MGROS/MGROS__investor_presentation__2026_Q1__tr__v1.pdf,4c3f2c321ac1d1db2aa2d7c3361a7bfe65d440c438be5673e22e1a099a53b581,2,121524,success
